id,source_id,source_name,title,content,published_at
3,al-jazeera-english,Al Jazeera English,North Korean footballer Han joins Italian giants Juventus,Han Kwang Song  the first North Korean footballer to score in the Italian Serie A league  has joined reigning champions Juventus on loan from Cagliari.  Han signed a one-year contract with the club with an option to buy after the year ends for five million eu… [+1240 chars],2019-09-03T17:25:39Z
7,reuters,Reuters,European third quarter profit outlook improves slightly but still in recession: Refinitv,LONDON (Reuters) - Earnings and revenue expectations for European companies for the third quarter have improved very slightly  although the region is still expected to be in a corporate recession  according to data on Tuesday.   Companies listed on the pan-Eu… [+640 chars],2019-09-03T16:53:48Z
11,the-new-york-times,The New York Times,Daniil Medvedev Rides a Wave of Hostility at the U.S. Open,Im satisfied because I made a step forward in my career  Medvedev said of reaching the quarterfinals. I did something I havent achieved before  and something I would have dreamt of one and a half weeks ago. But I can only be happy if I win the U.S. Open  whic… [+1369 chars],2019-09-03T09:59:38Z
15,bbc-news,BBC News,Putney child murder suspects detained by police,A murder inquiry has begun after a child died following reports they had gone into cardiac arrest.  A man and woman  both 29  have been detained in connection with the child's death in Putney  south-west London.  Met Police officers were called to a residenti… [+435 chars],2019-09-03T15:49:37Z
19,newsweek,Newsweek,Netflix The Dark Crystal: Age of Resistance Review: The Muppets Meet 'Game of Thrones',Jim Henson has one of the most storied legacies of any 20th Century creative. After creating The Muppets  Fraggle Rock and Sesame Street  changing the landscape of modern television  Henson hoped to create something grander. In 1982  alongside his longtime pa… [+3416 chars],2019-09-03T15:34:39Z
23,business-insider,Business Insider,From competition to collaboration: How PayPal turned challengers like Visa and Mastercard into partners and started sharing data to drive even more business,PayPal's July 2016 announcement of a strategic partnership with longtime rival Visa didn't spark an ideal reaction from investors.    The deal was a big one for the payment processor and signaled a pivot towards collaboration. PayPal had previously encouraged… [+4298 chars],2019-09-03T17:47:23Z
27,abc-news,ABC News,Woman survives 80-foot cliff fall in South Dakota state park,Authorities say a Minnesota woman has escaped with minor injuries after falling more than 80 feet (24 meters) from a cliff at a state park in South Dakota.  Minnehaha County sheriff's Sgt. Scott Dubbe says the fall happened Monday evening at the Palisades Sta… [+345 chars],2019-09-03T15:56:26Z
31,cbs-news,CBS News,9/3: CBSN AM,,2019-09-03T16:15:31Z
35,cbs-news,CBS News,Odessa gunman  was on a long spiral of going down  before shooting  officials say,,2019-09-03T11:59:30Z
39,bbc-news,BBC News,Jofra Archer slides across pitch during football match with teammates,It turns out Jofra Archer is not only good at cricket. The England bowler scored while playing football with his team-mates during a training session.  And how did he celebrate? By sliding across the pitch.  England are currently preparing for the fourth Test… [+74 chars],2019-09-03T17:58:22Z
