id,source_id,source_name,title,content,published_at
0,reuters,Reuters,NTSB says Autopilot engaged in 2018 California Tesla crash,WASHINGTON (Reuters) - The National Transportation Safety Board said Tuesday a Tesla Model S was in Autopilot mode when it struck a fire truck in Culver City  California one of a series of crashes the board is investigating involving Tesla’s driver assistance… [+478 chars],2019-09-03T16:22:20Z
4,bbc-news,BBC News,UK government lawyer says proroguing parliament 'political not legal',,2019-09-03T14:39:21Z
8,bbc-news,BBC News,How are emotional support animals allowed on flights?,Image copyrightGetty Images  You might have seen pictures in the past of some pretty strange animals who've boarded flights.  From a kangaroo to a turkey... and now a miniature horse called Flirty. Small for a horse maybe  but still pretty big to be sat next … [+2380 chars],2019-09-03T16:21:52Z
12,cnn,CNN,'Saved by the Bell' just may have a reunion coming up,,2019-09-03T12:45:52Z
16,the-new-york-times,The New York Times,Attack at School in China Leaves at Least 8 Children Dead,It said the wounded children had been taken to hospitals for treatment. There was no immediate word on their conditions.  Calls to the Enshi public security bureau Tuesday night went unanswered.  A report published online on Monday by the Guangzhou-based news… [+781 chars],2019-09-03T14:21:44Z
20,al-jazeera-english,Al Jazeera English,Brexit: All the latest updates,British Prime Minister Boris Johnson faces a parliamentary showdown over his bid to guide the United Kingdom out of the European Union by an October 31 deadline  with or without a divorce deal.  On their first day back after summer holidays  rebel and opposit… [+4500 chars],2019-09-03T14:55:44Z
24,reuters,Reuters,Trial of actor Cuba Gooding Jr in groping case gets October date,NEW YORK (Reuters) - Judge Herbert Moses of the Manhattan Supreme Court set an Oct. 10 trial date on Tuesday for the actor Cuba Gooding Jr.  who was charged with groping a woman at a Manhattan bar in June.   Gooding  dressed in a gray suit and tie  appeared c… [+1400 chars],2019-09-03T15:36:28Z
28,cbs-news,CBS News,Philadelphia district attorney exonerates 9 people in 19 months,Chester Hollman spent 27 years and 11 months in prison; Terrance Lewis spent 21 years  five months  five days; and Johnny Berry spent approximately 24 years in prison. They have always maintained their innocence.  Together they spent nearly 74 years in prison… [+4849 chars],2019-09-03T13:29:40Z
32,reuters,Reuters,Illinois joins lawsuit to ask court to stop merger of T-Mobile  Sprint,WASHINGTON  Sept 3 (Reuters) - Illinois has joined a multistate lawsuit aimed at stopping the merger of U.S. wireless carriers T-Mobile US Inc and Sprint Corp  the New York attorney general’s office  which is leading the effort along with California  said Tue… [+200 chars],2019-09-03T17:04:14Z
36,abc-news,ABC News,Israel sends firefighters to help Brazil battle Amazon fires,Israel says it will be dispatching a team of firefighters to assist Brazil with combatting the fires that have consumed large swaths of the country's Amazon rainforest.  The Foreign Ministry said Tuesday that after Prime Minister Benjamin Netanyahu had discus… [+589 chars],2019-09-03T14:48:11Z
40,cbs-news,CBS News,Pence defends decision to stay at Trump Doonbeg property,Vice President Mike Pence's staff is defending his decision to stay at one of President Donald Trump's properties while in Ireland amid criticism by Democrats that he's enriching Trump at taxpayers' expense  Pence's chief of staff  Marc Short  said Tuesday th… [+1554 chars],2019-09-03T11:10:54Z
44,the-new-york-times,The New York Times,Justin Bieber Says Childhood Fame Opened Door to ‘Heavy’ Drug Use,Bieber has credited his marriage last year to the model Hailey Baldwin (now Hailey Bieber)  22  with helping him gain perspective  and he did so again on Monday  calling their union an amazing  crazy  new responsibility. (Bieber dated the actress and singer S… [+1152 chars],2019-09-03T16:34:27Z
48,reuters,Reuters,U.S. judge says opioid litigation can proceed toward trial,(Reuters) - A U.S. judge on Tuesday rejected efforts by drugmakers  distributors and pharmacies to dismiss claims that they caused the nation’s opioid crisis  clearing the way for a scheduled landmark trial even as he pushes for a nationwide settlement.   U.S… [+2454 chars],2019-09-03T17:44:30Z
52,cbs-news,CBS News,62 000 people in the Bahamas don't have access to fresh water after Dorian  Red Cross says,,2019-09-03T12:47:32Z
56,cnn,CNN,Biden campaign signals it's preparing for a long primary fight,,2019-09-03T17:56:34Z
60,newsweek,Newsweek,No Food  No Jobs  No Future: Turned Away From the U.S. Border  Young Hondurans Say They Are Struggling to Survive,Walking through the gym of a local community outreach center in Choloma  Honduras  25-year-old Josue Betancourt is reminded of brighter days  when he used to be able to come here to work out with friends.   You know  I used to be more buff than him   Betancou… [+6352 chars],2019-09-03T06:00:01Z
64,business-insider,Business Insider,Pottery Barn Teen's Fantastic Beasts Collection features decor and bedding that 'Harry Potter' fans of any age will love,One of the aspects that I find irresistible about the  Harry Potter  franchise is the whimsical and  of course  magical art direction of the films. This Wizarding World that the filmmakers created  and as seen on the big screen  possesses a charm that is deli… [+1302 chars],2019-09-03T16:30:00Z
68,newsweek,Newsweek,Oklahoma Man Hurls Cupcake From Car and Hits Driver in the Face  Gets Charged With Assault,An Oklahoma man has been hit with a misdemeanor assault charge after allegedly hurling a cupcake from a car and striking another driver in the face  police say.  Trevor Pearson  31  of Lexington  was set to appear in Garvin County District Court this week aft… [+2368 chars],2019-09-03T10:23:17Z
72,cnn,CNN,Walmart ends all handgun ammunition sales and asks customers not to carry guns into stores,New York (CNN Business)Walmart on Tuesday announced it will reduce its gun and ammunition sales  one month after more than 20 people were killed in a mass shooting at a Walmart in El Paso  Texas. Walmart also pressured Congress to enact gun safety measures.  … [+3861 chars],2019-09-03T17:00:05Z
76,business-insider,Business Insider,Paying with a debit card is leaving money on the table  and 4 more reasons I only ever pay with credit,Nothing makes me cringe more than going to to stores and restaurants with my friends and watching them pay with cash or a debit card. Or worse  when the occasional person still pulls out a checkbook and writes a personal check  carefully noting their purchase… [+3749 chars],2019-09-03T17:44:43Z
80,the-new-york-times,The New York Times,Your Tuesday Briefing,There  the Greek-influenced calendar had only 10 months. A few were named for gods: March for Mars  April for Aphrodite  May for Maia and June for Juno. But the rest were numbered  and some are still with us. October was the eighth month  November the ninth a… [+1049 chars],2019-09-03T09:48:29Z
84,abc-news,ABC News,Justice Sotomayor encourages kids to 'Just Ask' in new book,Supreme Court Justice Sonia Sotomayor has said that the seed for what has become her latest children's book was planted the day a woman called her a drug addict.  Sotomayor   who was diagnosed with diabetes at age 7  had gone to the bathroom of an upscale New… [+3619 chars],2019-09-03T14:42:43Z
88,newsweek,Newsweek,Nintendo Direct Predictions: Next 'Smash Ultimate' DLC  'Pokémon Sword and Shield' Starter Evolutions and More,Nintendo is springing a new Direct on fans this week with a lot of information expected from the 40-minute presentation.  The company has already announced that Pokémon Sword and Shield and Luigi's Mansion 3 will get the spotlight during the next Nintendo Dir… [+2605 chars],2019-09-03T17:02:59Z
92,bbc-news,BBC News,Euro 2020 qualifiers: Aaron Wan-Bissaka out of England squad with back injury,Aaron Wan-Bissaka joined Manchester United from Crystal Palace in a £50m deal this summer  Manchester United full-back Aaron Wan-Bissaka has withdrawn from the England squad because of a back injury.  Wan-Bissaka was named in Gareth Southgate's senior side fo… [+426 chars],2019-09-03T15:43:49Z
96,newsweek,Newsweek,Hurricane Dorian Path Map Update: Category 3 Storm's Slow Movement Will Make It More Destructive Say Experts,Hurricane Dorian is wreaking more havoc on the Bahamas because the calm atmosphere above it is keeping it stationary  meteorologists have warned.  In a counterintuitive analysis of the most powerful Atlantic hurricanes on record  where winds have reached up t… [+2947 chars],2019-09-03T10:27:36Z
100,bbc-news,BBC News,'I'm all for the battle' with Steve Smith- Jofra Archer,England pace bowler Jofra Archer says he is  all for battle  against Australia's Steve Smith but he's  not trying to scare him either .  Smith missed the third Test with concussion after he was hit on the neck by a 92mph delivery from Archer and they are set … [+196 chars],2019-09-03T17:49:48Z
104,reuters,Reuters,Netflix applies for license under new Turkish broadcasting rules,ISTANBUL/NEW YORK (Reuters) - U.S. online streaming service Netflix (NFLX.O) has applied for a license to continue operating in Turkey under new online broadcasting rules that have raised fears over possible censorship in the future.   Turkey last month grant… [+3878 chars],2019-09-03T15:33:26Z
108,cbs-news,CBS News,Some Florida coastal residents refuse to leave homes ahead of Hurricane Dorian,,2019-09-03T11:35:31Z
112,the-new-york-times,The New York Times,Jeffrey Epstein’s New York Hunting Ground: Dance Studios,Two of the lawsuits say that Mr. Epstein used his time on work release to have sex with at least two of the young women he had recruited in New York.   One  identified in court papers as Priscilla Doe  said Mr. Epstein flew her to Florida during his imprisonm… [+1530 chars],2019-09-03T09:59:30Z
116,bbc-news,BBC News,T20 World Cup Qualifier: Thailand claim two-run win over Ireland women,Ireland's women will face Bangladesh or Scotland in Thursday's semi-final  <table><tr><td>ICC T20 World Cup Qualifier: Dundee  Scotland</td></tr><tr><td>Ireland 90-9: Richardson 21  Waldron 14; Sutthiruang 3-14  Laomi 3-17</td></tr><tr><td>Thailand 92-7: Chal… [+995 chars],2019-09-03T14:08:14Z
120,bbc-news,BBC News,2019/09/03 14:00 GMT,The latest five minute news bulletin from BBC World Service.,2019-09-03T14:06:00Z
124,reuters,Reuters,Israel says Hezbollah plans advanced missile plant in Lebanon's Bekaa,JERUSALEM (Reuters) - Israel accused Hezbollah on Tuesday of setting up a factory for precision-guided missiles in Lebanon’s Bekaa valley  in a veiled warning of further possible Israeli counter-strikes after a drone attack near Beirut set off brief cross-bor… [+1634 chars],2019-09-03T16:13:37Z
128,abc-news,ABC News,Convicted hacker called to testify to grand jury in Virginia,A convicted hacker who's serving 10 years in prison for breaking into computer systems of security firms and law-enforcement agencies has been called to testify to a federal grand jury in Virginia.  Supporters of Jeremy Hammond  part of the Anonymous hacking … [+587 chars],2019-09-03T15:24:41Z
132,abc-news,ABC News,Atlanta comfort Hurricane Dorian evacuees with free services,Atlanta is welcoming Hurricane Dorian evacuees with open arms  camping spaces and America's favorite pastime.  Interested in Hurricane Dorian?  Add Hurricane Dorian as an interest to stay up to date on the latest Hurricane Dorian news  video  and analysis fro… [+753 chars],2019-09-03T10:54:38Z
136,business-insider,Business Insider,Thieves broke into an Australian Apple store with a sledgehammer and stole $300 000 worth of Apple products — but they may already be worth nothing (AAPL),Thieves smashed the window of an Apple store in Perth  Australia  with a sledgehammer on Tuesday morning and stole $300 000 in iPhones and other products  according to Perth Now and other Perth news outlets  which we first saw on 9to5Mac.    However  Apple re… [+1693 chars],2019-09-03T16:18:37Z
