Name,ID,Published_from,Published_to,Avg_content_length
,the-new-york-times,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
Ukraine must investigate Joe Biden's son  says ex-Ukrainian PM,reuters,2019-09-27T00:00:00Z,2019-09-27T00:00:00Z,274.0
The Margin: Serena aims to match Margaret Court’s Grand Slam record at U.S. Open,the-wall-street-journal,2019-09-07T00:00:00Z,2019-09-07T00:00:00Z,273.0
Exclusive: Ahead of trade talks  China makes biggest U.S. soybean purchases since June - traders,reuters,2019-09-12T00:00:00Z,2019-09-12T00:00:00Z,273.3333333333333
Israeli Leader Pins Election Bid on Security Record,the-wall-street-journal,2019-09-15T00:00:00Z,2019-09-15T00:00:00Z,274.0
Tusk ‘fully behind Ireland’ as MEPs reject UK proposals,the-irish-times,2019-10-03T00:00:00Z,2019-10-03T00:00:00Z,274.0
Boris Johnson loses his majority after Conservative MP Philip Lee dramatically crosses floor to join the Liberal Democrats,business-insider,2019-09-03T00:00:00Z,2019-09-03T00:00:00Z,0.0
Ashes 2019: Andrew Flintoff would 'love to be England coach one day',bbc-news,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
These are the Republicans who are against Trump and for impeachment,cnn,2019-10-01T00:00:00Z,2019-10-01T00:00:00Z,0.0
A US priest  a Philippine village  and decades of secrecy,abc-news,2019-09-09T00:00:00Z,2019-09-09T00:00:00Z,274.0
Margrethe Vestager Gains Expanded E.U. Role Regulating Digital Economy,the-new-york-times,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,273.0
Medication abortion reversal is  devoid of scientific support   judge rules in North Dakota today,cbs-news,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
'Auschwitz-Themed' Barbie Exhibit Features Dolls Being Marched into Ovens  Accused of Trivializing Holocaust,newsweek,2019-09-06T00:00:00Z,2019-09-06T00:00:00Z,274.0
7 Photos that Will Make You Want to Visit Mickey’s Not-So-Scary Halloween Party Now,abc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
This week on  Sunday Morning  (September 22),cbs-news,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
Brexit: Boris Johnson: 'I'd rather be dead in a ditch than delay Brexit',bbc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,273.0
Pence's stay at Trump property in Ireland is focus of Senate Democrat inquiry,abc-news,2019-09-05T00:00:00Z,2019-09-05T00:00:00Z,274.0
Wilbur Ross 'Needs to Resign Now' If He Threatened to Fire Top NOAA Officials for Tweet Contradicting Trump on Hurricane Dorian  Democrat Says,newsweek,2019-09-10T00:00:00Z,2019-09-10T00:00:00Z,274.0
Handwashing beats sanitizer for killing flu virus on hands,reuters,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,274.0
